полугодие,реализация(т),выпуск(тонн)
2012,793.187,837.118
2013,865.1110000000001,866.8810000000001
2014,1029.388,1000.937
2015,759.556,766.368
2016,727.055,706.3810000000001
2017,753.815,753.518
2018,723.867,711.459
2019,712.618,681.2860000000001
